driverId,constructorId,circuitId,Medium_x,Soft_x,Super Soft_x,Ultra soft,Hard_x,grid,Super Soft_y,Soft_y,Medium_y,Hard_y,Ultra Soft,Recommended_pits,Wet,turns,race_laps,race_distance,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,clusters
1,131,1,1,6,6,0,0,1,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
3,131,1,2,5,6,0,0,2,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
20,6,1,2,5,6,0,0,3,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
8,6,1,2,5,6,0,0,4,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
822,3,1,1,5,7,0,0,16,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
13,3,1,1,5,7,0,0,6,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
817,9,1,2,4,7,0,0,8,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
815,10,1,2,5,6,0,0,9,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
4,1,1,1,5,7,0,0,11,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
18,1,1,1,5,7,0,0,12,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,2
828,15,1,1,6,6,0,0,15,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
836,209,1,4,4,5,0,0,21,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,2
837,209,1,4,4,5,0,0,22,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
154,210,1,1,5,7,0,0,19,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,4
1,131,1,0,1,6,6,0,1,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
20,6,1,0,2,5,6,0,2,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
8,6,1,0,2,5,6,0,4,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
822,131,1,0,1,5,7,0,3,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
13,3,1,0,1,5,7,0,7,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
817,9,1,0,2,4,7,0,0,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
815,10,1,0,2,5,6,0,10,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
4,1,1,0,1,5,7,0,12,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
828,15,1,0,1,6,6,0,14,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
154,210,1,0,1,5,7,0,6,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,4
1,131,3,1,6,6,0,0,1,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
3,131,3,1,6,6,0,0,2,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
20,6,3,3,4,6,0,0,3,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
8,6,3,3,4,6,0,0,4,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
822,3,3,3,3,7,0,0,6,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
13,3,3,3,3,7,0,0,7,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
817,9,3,2,5,6,0,0,5,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
826,9,3,1,7,5,0,0,15,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
815,10,3,2,5,6,0,0,18,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
18,1,3,4,4,5,0,0,14,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
828,15,3,3,4,6,0,0,17,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
836,209,3,4,5,4,0,0,16,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
837,209,3,4,5,4,0,0,20,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
154,210,3,2,4,7,0,0,9,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
1,131,3,1,6,6,0,0,2,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
20,6,3,3,4,6,0,0,3,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
8,6,3,3,4,6,0,0,5,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
822,131,3,3,3,7,0,0,1,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
13,3,3,3,3,7,0,0,8,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
817,9,3,2,5,6,0,0,4,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
826,5,3,1,7,5,0,0,11,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
815,10,3,2,5,6,0,0,18,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
828,15,3,3,4,6,0,0,19,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
836,15,3,4,5,4,0,0,13,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
154,210,3,2,4,7,0,0,9,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
1,131,17,4,4,5,0,0,22,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
3,131,17,3,5,5,0,0,1,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
20,6,17,3,4,6,0,0,4,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
8,6,17,3,4,6,0,0,3,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
822,3,17,2,4,7,0,0,5,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
13,3,17,1,5,7,0,0,10,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
817,9,17,2,5,6,0,0,2,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
826,9,17,2,5,6,0,0,6,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
815,10,17,2,5,6,0,0,7,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
4,1,17,2,4,7,0,0,11,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
18,1,17,2,4,7,0,0,12,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
828,15,17,5,4,4,0,0,15,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
836,209,17,4,5,4,0,0,21,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
837,209,17,4,5,4,0,0,20,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
154,210,17,1,5,7,0,0,14,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
1,131,17,4,4,5,0,0,1,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
20,6,17,3,4,6,0,0,2,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
8,6,17,3,4,6,0,0,4,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
822,131,17,2,4,7,0,0,3,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
13,3,17,1,5,7,0,0,6,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
817,9,17,2,5,6,0,0,5,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
826,5,17,1,5,7,0,0,9,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
815,10,17,2,5,6,0,0,8,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
4,1,17,2,4,7,0,0,13,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
828,15,17,5,4,4,0,0,14,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
154,210,17,2,4,7,0,0,19,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
1,131,71,1,4,8,0,0,10,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
3,131,71,1,4,8,0,0,1,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
20,6,71,1,6,6,0,0,7,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,3
8,6,71,1,6,6,0,0,3,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
822,3,71,1,3,9,0,0,2,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
13,3,71,1,3,9,0,0,4,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
817,9,71,1,2,10,0,0,5,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,2
826,9,71,1,2,10,0,0,8,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,2
815,10,71,1,4,8,0,0,6,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
4,1,71,1,5,7,0,0,14,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
18,1,71,1,5,7,0,0,12,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
828,15,71,1,5,7,0,0,22,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,3
836,209,71,2,5,6,0,0,20,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
837,209,71,2,5,6,0,0,21,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,3
154,210,71,1,2,10,0,0,15,1,1,1,0,0,3,0,18,53,309.745,0.75,1073,2,54,1
1,131,71,0,1,4,8,0,4,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
20,6,71,0,1,6,6,0,1,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,3
8,6,71,0,1,6,6,0,2,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
822,131,71,0,1,3,9,0,3,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
13,3,71,0,1,3,9,0,6,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
817,9,71,0,1,2,10,0,5,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,2
826,5,71,0,1,2,10,0,12,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,2
815,10,71,0,1,4,8,0,9,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
4,1,71,0,1,5,7,0,15,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
828,15,71,0,1,5,7,0,18,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,3
836,15,71,0,2,5,6,0,17,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
154,210,71,0,1,2,10,0,19,1,1,0,0,1,3,0,18,53,309.745,0.75,1073,2,54,1
1,131,4,5,7,0,0,1,1,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
3,131,4,5,7,0,0,1,2,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
20,6,4,4,8,0,0,1,6,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
8,6,4,4,8,0,0,1,5,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
822,3,4,5,7,0,0,1,7,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
13,3,4,5,7,0,0,1,18,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
817,9,4,4,7,0,0,2,3,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
826,5,4,6,6,0,0,1,13,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
815,10,4,5,6,0,0,2,9,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
4,1,4,5,7,0,0,1,10,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,4
18,1,4,5,7,0,0,1,12,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
828,15,4,6,5,0,0,2,19,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
836,209,4,5,6,0,0,2,21,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
837,209,4,5,6,0,0,2,22,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,4
154,210,4,3,8,0,0,2,14,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
1,131,4,1,5,7,0,0,1,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
20,6,4,1,4,8,0,0,2,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
8,6,4,1,4,8,0,0,4,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
822,131,4,1,5,7,0,0,3,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
13,3,4,1,5,7,0,0,9,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
817,9,4,2,4,7,0,0,6,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,3
826,5,4,2,6,6,0,0,19,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
815,10,4,2,5,6,0,0,8,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
4,1,4,1,5,7,0,0,7,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,4
828,15,4,2,6,5,0,0,16,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
836,15,4,2,5,6,0,0,15,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,1
154,210,4,2,3,8,0,0,14,0,1,1,1,0,3,0,16,66,307.104,0.72,1310,3,45,2
1,131,6,0,1,2,10,0,3,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,4
3,131,6,0,1,2,10,0,2,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,3
20,6,6,0,2,2,9,0,4,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,2
8,6,6,0,2,2,9,0,11,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
822,3,6,0,2,4,7,0,10,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,5
13,3,6,0,2,4,7,0,14,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
817,9,6,0,1,2,10,0,1,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
826,5,6,0,3,3,7,0,8,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
815,10,6,0,3,3,7,0,7,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,2
4,1,6,0,1,5,7,0,9,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
18,1,6,0,1,5,7,0,13,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
828,15,6,0,1,4,8,0,17,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
836,209,6,0,2,5,6,0,20,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,4
837,209,6,0,2,5,6,0,19,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,5
154,210,6,0,1,3,9,0,15,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,3
1,131,6,0,1,3,9,0,13,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,4
20,6,6,0,1,2,10,0,2,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,2
8,6,6,0,1,2,10,0,1,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
822,131,6,0,1,3,9,0,3,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,5
13,3,6,0,1,1,11,0,14,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
817,9,6,0,1,1,11,0,5,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
826,5,6,0,1,3,9,0,9,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
815,10,6,0,1,2,10,0,7,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,2
18,1,6,0,2,1,10,0,20,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,1
828,15,6,0,1,2,10,0,19,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,6
836,15,6,0,1,2,10,0,18,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,4
154,210,6,0,1,2,10,0,8,1,1,0,0,1,3,0,19,78,260.286,0.34,669,3,47,3
1,131,7,0,3,2,8,0,1,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
3,131,7,0,3,2,8,0,2,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
20,6,7,0,3,3,7,0,3,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
8,6,7,0,3,3,7,0,6,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
822,3,7,0,2,4,7,0,7,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
13,3,7,0,3,3,7,0,8,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,2
817,9,7,0,4,2,7,0,4,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
826,5,7,0,2,4,7,0,15,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
815,10,7,0,4,3,6,0,11,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
4,1,7,0,3,4,6,0,10,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
18,1,7,0,3,4,6,0,12,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,2
828,15,7,0,2,5,6,0,21,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
836,209,7,0,3,4,6,0,17,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
837,209,7,0,3,4,6,0,19,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
154,210,7,0,3,0,10,0,14,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
1,131,7,0,1,4,8,0,1,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
20,6,7,0,1,3,9,0,2,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
8,6,7,0,1,3,9,0,4,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
822,131,7,0,2,3,8,0,3,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
13,3,7,0,2,4,7,0,7,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,2
817,9,7,0,1,5,7,0,6,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
826,5,7,0,2,3,8,0,11,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
815,10,7,0,2,3,8,0,8,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
4,1,7,0,1,2,10,0,12,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
828,15,7,0,2,4,7,0,19,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
836,15,7,0,3,3,7,0,20,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
154,210,7,0,1,5,7,0,14,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
1,131,70,0,2,3,8,0,1,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
3,131,70,0,1,4,8,0,6,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
20,6,70,0,1,3,9,0,9,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
8,6,70,0,1,3,9,0,4,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
822,3,70,0,1,5,7,0,7,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
13,3,70,0,2,4,7,0,10,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
817,9,70,0,2,4,7,0,5,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
826,5,70,0,2,4,7,0,22,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
815,10,70,0,3,3,7,0,16,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
4,1,70,0,3,3,7,0,14,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
18,1,70,0,3,3,7,0,3,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
828,15,70,0,2,4,7,0,18,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
836,209,70,0,1,4,8,0,12,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
837,209,70,0,1,4,8,0,20,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,5
154,210,70,0,2,5,6,0,13,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
1,131,70,0,2,3,8,0,8,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
20,6,70,0,1,5,7,0,2,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
8,6,70,0,2,4,7,0,3,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
822,131,70,0,1,4,8,0,1,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
13,3,70,0,2,3,8,0,17,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
817,9,70,0,2,2,9,0,4,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
826,5,70,0,2,3,8,0,14,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
815,10,70,0,1,2,10,0,7,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
4,1,70,0,1,2,10,0,12,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
828,15,70,0,2,4,7,0,19,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
836,15,70,0,3,3,7,0,20,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
154,210,70,0,1,5,7,0,6,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
1,131,9,5,7,0,0,1,1,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
3,131,9,5,7,0,0,1,2,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
20,6,9,3,8,0,0,2,11,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
8,6,9,3,8,0,0,2,5,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
822,3,9,5,7,0,0,1,6,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
13,3,9,5,7,0,0,1,12,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
817,9,9,4,7,0,0,2,4,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
826,5,9,3,8,0,0,2,15,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
815,10,9,4,6,0,0,3,10,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
4,1,9,5,7,0,0,1,9,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
18,1,9,5,7,0,0,1,17,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
828,15,9,3,9,0,0,1,22,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
836,209,9,5,7,0,0,1,20,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
837,209,9,5,7,0,0,1,19,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
154,210,9,4,7,0,0,2,13,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
1,131,9,1,6,6,0,0,1,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
20,6,9,1,3,9,0,0,3,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
8,6,9,1,3,9,0,0,2,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
822,131,9,2,5,6,0,0,9,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
13,3,9,1,5,7,0,0,14,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
817,9,9,1,4,8,0,0,19,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
826,5,9,1,2,10,0,0,12,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
815,10,9,2,4,7,0,0,6,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
4,1,9,1,2,10,0,0,20,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
828,15,9,1,5,7,0,0,18,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
836,15,9,1,5,7,0,0,17,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
154,210,9,2,4,7,0,0,10,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
1,131,11,1,4,8,0,0,2,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
3,131,11,1,4,8,0,0,1,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
20,6,11,1,3,9,0,0,5,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
8,6,11,1,3,9,0,0,14,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,3
822,3,11,1,5,7,0,0,10,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
13,3,11,1,5,7,0,0,18,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,2
817,9,11,1,5,7,0,0,3,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
826,5,11,1,5,7,0,0,12,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,3
815,10,11,2,4,7,0,0,13,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,4
